Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
"Joy Global, Inc.",Milwaukee,130,5/11/2016,"CL, AW",11/30/2015,Overhead Cranes Hoists and Monorail Systems,Milwaukee,Milwaukee
Kraft Heinz Foods Company,Madison,561,4/25/2016,WR,06/30/2016,Meat Processed from Carcasses,Dane,South Central
"United Solutions, Inc.",Pleasant Prairie,161,4/19/2016,CL,06/24/2016,Packaging & Labeling Services,Kenosha,Southeast
Fairmont Santrol,Hagar City,3,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Maiden Rock,39,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Menomonie,13,4/14/2016,WR,04/14/2016,Ind Sand Mining,Dunn,West Central
"Kohl's Department Stores, Inc.",Brown Deer,83,4/8/2016,CL,06/19/2016,Office Admin Services,Milwaukee,Milwaukee
Rock-Walworth Comprehensive Family Services Inc.-Janesville Community Kids,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Walworth Co. RWCFS,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Janesville Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Lake Geneva,Lake Geneva,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Delavan,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Sharon,Sharon,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Whitewater,Whitewater,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit Hackett Head Start,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Superior Silica Sands,New Auburn,9,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
