Date,Company,Jobs Affected,City,Location
6/16/2019,Shopko Corporate Office,Closure,25,Wayne,Wayne
6/16/2019,Shopko Corporate Office,Closure,45,North Platte,North Platte
6/16/2019,Shopko Corporate Office,Closure,19,O'Neill,O'Neill
6/16/2019,Shopko Corporate Office,Closure,18,Valentine,Valentine
6/16/2019,Shopko Corporate Office,Closure,15,Broken Bow,Broken Bow
6/5/2019,Wahoo Super,Closure,28,Wahoo,Wahoo
5/31/2019,Payless,Closure,2,Scottsbluff,Scottsbluff
5/31/2019,Bigler Motors,Closure,12,Lincoln,Lincoln
5/28/2019,Payless ShoeSource,Closure,6,Norfolk,Norfolk - Sunset Plaza Mall
5/16/2019,Blue Blood Brewery,Closure,34,Lincoln,Lincoln
5/15/2019,Wiggles and Giggles Academy,Closure,9,Holdrege,Holdrege
5/12/2019,Casey's General Store,Closure,6,Lincoln,Lincoln
5/12/2019,Shopko xxxxx,Closure,15,Beatrice,Beatrice
5/12/2019,Shopko xxxx,Closure,15,Ainsworth,Ainsworth
5/12/2019,Shopko Hometown xxxx,Closure,25,Falls City,Falls City
5/12/2019,Shopko Corporate Office,Closure,25,Falls City,Falls City
5/12/2019,Shopko Corporate Office,Closure,15,Beatrice,Beatrice
5/12/2019,Shopko Corporate Office,Closure,18,Ainsworth,Ainsworth
5/11/2019,Cabela's Corporation,Closure,41,Oskosh,Returns Facility - Oshkosh
5/11/2019,Cabela's Corporation,Closure,120,Sidney,Distribution Center - Sidney
5/11/2019,Schuyler Care & Rehabilitation Center,Closure,53,Schuyler,Schuyler
5/11/2019,Norfolk Care & Rehabilitation Center,Closure,42,Norfolk,Norfolk
5/11/2019,Cabela's x,Closure,41,Oshkosh,Oshkosh Returns Facility
5/11/2019,Cabela's x,Closure,120,Sidney,Sidney Distribution Center
5/5/2019,Shopko Hometown xxxx,Closure,20,Auburn,Auburn
5/5/2019,Shopko Hometown xxxx,Closure,12,Superior,Superior
5/5/2019,Shopko xxxx,Closure,15,Gothenburg,Gothenburg
5/5/2019,Shopko Corporate Office,Closure,20,Auburn,Auburn
5/5/2019,Shopko Corporate Office,Closure,15,Gothenburg,Gothenburg
5/2/2019,Shopko Corporate Office,Closure,24,West Point,West Point
5/1/2019,Shopko Corporate Office,Closure,35,Norfolk,Norfolk
4/23/2019,Noodles & Company,Closure,16,Lincoln,Lincoln
4/22/2019,"Elkhorn River Farms, LLC",Layoff,31,O'Neill,O'Neill
4/20/2019,Payless ShoeSource,Closure,2,Lincoln,Lincoln 6845
4/19/2019,Payless ShoeSource,Closure,3,Lincoln,Lincoln 4200
4/19/2019,Payless,Closure,5,North Platte,North Platte
4/15/2019,Spectrum America Supply Chain Solutions (Shopko distribution)xxxx,Closure,295,Omaha,Shopko Distribution Center
4/15/2019,Shopko Corporate Office,Closure,42,Lincoln,Lincoln - 4200 South 27th Street
4/15/2019,Shopko Corporate Office,Closure,44,Lincoln,Lincoln - 100 South 66th Street
4/15/2019,Shopko Corporate Office,Closure,44,Lincoln,Lincoln - 6845 South 27th Street
4/15/2019,Shopko Corporate Office,Closure,5,Lincoln,Lincoln - 4200 South 27th Street Optical
4/15/2019,Shopko Corporate Office,Closure,295,Omaha,Omaha - Shopko Distribution Center
4/14/2019,Payless ShoeSource,Closure,,Lincoln,Gateway Mall - Lincoln
4/13/2019,Lincoln Journal Star,Layoff,48,Lincoln,Lincoln
4/9/2019,Buck's Shoes,Closure,6,Omaha,Omaha
4/9/2019,Buck's Shoes,Closure,2,Fremont,Fremont
4/1/2019,Century Lumber Center,Closure,1,Scottsbluff,Scottsbluff
3/31/2019,Shopko Hometown xxxx,Closure,17,Albion,Albion
3/31/2019,SkateDaze,Closure,6,Omaha,Omaha
3/31/2019,Shopko Corporate Office,Closure,17,Albion,Albion
3/29/2019,Sears,Closure,42,Omaha,Crossroads Mall - Omaha
3/24/2019,Kmart,Closure,42,Alliance,Alliance
3/23/2019,Payless ShoeSource,Closure,1,Norfolk,Norfolk 2005
3/23/2019,Payless ShoeSource,Closure,7,Lincoln,Lincoln N27th
3/19/2019,Payless ShoeSource,Closure,,Lincoln,In Shopko - Lincoln
3/15/2019,Sidney Care and Rehabilitation Center,Closure,51,Sidney,Sidney
3/15/2019,Wausa Care and Rehabilitation Center,Closure,39,Wausa,Wausa
3/12/2019,Nebraska Commission for the Blind x,Layoff,2,Norfolk,Norfolk
3/12/2019,Nebraska Commission for the Blind and Visually Impaired,Layoff,8,Lincoln,Lincoln
3/12/2019,Nebraska Commission for the Blind and Visually Impaired,Layoff,2,Norfolk,Norfolk
3/12/2019,Payless ShoeSource,Closure,6,Columbus,Columbus
3/11/2019,Legends Patio Bar & Grill,Closure,18,Lincoln,Lincoln
3/10/2019,Sears,Closure,,Lincoln,Lincoln - Gateway Mall
3/2/2019,Shopko xxxx,Closure,48,Lincoln,Lincoln NW
3/2/2019,Shopko xxxx,Closure,17,Ord,Ord
3/2/2019,Shopko Corporate Office,Closure,17,Ord,Ord
3/2/2019,Shopko Corporate Office,Closure,48,Lincoln,Lincoln - 3400 North 27th Street
3/1/2019,Capital One Financial,Layoff,4,Lincoln,Lincoln
2/28/2019,Sears,Closure,27,Grand Island,Grand Island
2/28/2019,Shopko xxxx,Closure,16,Kimball,Kimball
2/28/2019,Corps of Discovery Welcome Center,Closure,1,Crofton,Crofton
2/28/2019,Shopko Corporate Office,Closure,16,Kimball,Kimball
2/18/2019,Shopko Corporate Office,Closure,3,Broken Bow,Broken Bow
2/18/2019,Country Nest,Closure,0,Kearney,Kearney
2/18/2019,Shopko xxxx,Closure,3,Ainsworth,Ainsworth - Pharmacy
2/18/2019,Shopko Hometown xxxx,Closure,3,Broken Bow,Broken Bow - Pharmacy
1/31/2019,The Solid Rock,Closure,6,Kearney,Kearney
1/30/2019,Union Pacific,Closure,68,Morrill,Morrill
1/28/2019,Gap,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,,Lincoln,Lincoln
1/25/2019,US Bank,Closure,1,North Platte,North Platte
1/17/2019,Blue Valley Bowl,Closure,3,Hebron,Hebron
1/15/2019,Sears Hometown Store,Closure,5,Beatrice,Beatrice
1/12/2019,Shopko Hometown Pharmacy xxxx,Closure,9,Wayne,Wayne
1/12/2019,Shopko Corporate Office,Closure,9,Wayne,Wayne
1/9/2019,Shopko Corporate Office,Closure,6,Lincoln,Lincoln - 4200 South 27th Street Pharmacy
1/9/2019,Shopko Corporate Office,Closure,4,Lincoln,Lincoln - 6845 South 27th Street Pharmacy
1/9/2019,Shopko Pharmacy xxxx,Closure,4,Lincoln,Lincoln Pine Lake
1/9/2019,Shopko Pharmacy xxxx,Closure,6,Lincoln,Lincoln 4200 S. 27th
1/8/2019,Shopko Pharmacy xxxx,Closure,,Lincoln,Lincoln 100 S. 66th
1/8/2019,Shopko Corporate Office,Closure,,Lincoln,Lincoln - 100 South 66th Street Pharmacy
1/4/2019,Diversified Foods & Seasoning,Closure,54,Nebraska City,Nebraska City
1/4/2019,Quad Graphics,Layoff,6,Sidney,Sidney
1/4/2019,Capital One Financial,Layoff,45,Lincoln,Lincoln
12/31/2018,Dr. Mausolf Ophthalmology,Closure,7,Lincoln,Lincoln
12/31/2018,PaymentSpring - Nelnet,Layoff,30,Omaha,Omaha
12/31/2018,Allstate Insurance,Layoff,14,Lincoln,Lincoln
12/28/2018,Kearney Little Learners,Closure,23,Kearney,Kearney
12/22/2018,CraftHouse,Closure,,Lincoln,Lincoln
12/22/2018,Shopko Corporate Office,Closure,12,Gordon,Gordon
12/22/2018,Shopko Corporate Office,Closure,16,Ogallala,Ogallala
12/22/2018,Shopko xxxx,Closure,12,Gordon,Gordon
12/22/2018,Shopko xxxx,Closure,16,Ogallala,Ogallala
12/21/2018,201 Tanning & Spa,Closure,2,Beatrice,Beatrice
12/15/2018,O'Connor's Irish Pub,Closure,3,Omaha,Omaha
12/7/2018,Capital One Financial,Layoff,155,Lincoln,Lincoln
12/2/2018,Shivers Sweets N Treats,Closure,2,Lincoln,Lincoln
11/27/2018,The Creative Teacher,Closure,,Kearney,Kearney
11/21/2018,Funshine Shop,Closure,2,Kearney,Kearney
11/16/2018,The Emporium Restaurant,Closure,11,Scottsbluff,Scottsbluff
11/16/2018,Quad Graphics,Layoff,30,Sidney,Sidney
11/14/2018,Jimmy's Egg,Closure,,Lincoln,Lincoln
10/31/2018,Five Guys,Closure,,Lincoln,Lincoln - Downtown
10/31/2018,The Donut Shop,Closure,2,Omaha,Omaha
10/27/2018,Lewis Greenscape,Closure,12,Grand Island,Grand Island
10/27/2018,Heartland Foods,Layoff,4,Beatrice,Beatrice
10/2/2018,Crafts Inc.,Layoff,3,Norfolk,Norfolk
10/1/2018,Jason Sears Flooring,Closure,3,O'Neill,O'Neill
9/30/2018,Big Top Party Shop,Closure,5,Norfolk,Norfolk
9/28/2018,Family 4Ward,Layoff,5,Scottsbluff,Scottsbluff
9/27/2018,Gamers,Closure,,Lincoln,Lincoln
9/27/2018,Gamers,Closure,,Omaha,Omaha
9/27/2018,Gamers,Closure,,La Vista,La Vista
9/18/2018,Poling Drug,Layoff,4,Beatrice,Beatrice
9/15/2018,Allen's Superstore,Closure,33,Hastings,Hastings
8/31/2018,Herbergers,Closure,80,Kearney,Kearney
8/31/2018,Save Best Store,Closure,8,Lincoln,Lincoln
8/31/2018,Herbergers,Closure,22,Norfolk,Norfolk
